id_client,region,sexe,age,revenu_estime_gnf,anciennete_mois,type_abonnement,forfait_international,messagerie_vocale,recharge_mensuelle_moy_gnf,moyen_paiement,minutes_jour,minutes_nuit,donnees_mo,nombre_sms,appels_service_client,pannes_signalees_30j,retard_paiement_jours,minutes_internationales,retour_client,resiliation
GN-100037,Labé,F,25,1674542,6,Prépayé,Non,Non,151000.0,Orange Money,104.45,20.45,232.3,34,1,1,0,2.3,"Prix raisonnable, réseau stable à Kipé et Nongo.",1
GN-100038,N’Zérékoré,M,43,828357,27,Prépayé,Non,Non,127100.0,Orange Money,150.07,46.78,671.7,29,0,1,1,0.3,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",0
GN-100039,Kankan,F,47,1868521,15,Prépayé,Non,Non,141500.0,Orange Money,40.13,38.35,372.4,44,5,0,5,1.1,"Service client joignable, délai un peu long parfois.",1
GN-100040,Conakry,F,33,1030059,23,Postpayé,Non,Oui,435600.0,Orange Money,51.59,33.76,1094.1,41,1,0,8,11.3,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",0
GN-100041,Faranah,M,19,565474,58,Prépayé,Non,Oui,75500.0,Orange Money,5.52,63.18,271.4,36,3,2,9,8.0,"Internet lent certains soirs à Matoto, sinon ok.",1
GN-100042,Boké,F,31,734409,23,Postpayé,Non,Non,293700.0,Orange Money,24.97,100.62,1439.6,41,2,0,11,3.4,"Ça passe bien pour mes besoins, appels clairs et internet ok.",0
GN-100043,Conakry,F,35,2820936,10,Prépayé,Non,Non,380200.0,Autre wallet,0.0,6.61,429.5,28,0,1,2,2.5,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100044,Mamou,M,18,1050837,11,Prépayé,Oui,Non,209300.0,Orange Money,58.26,11.43,819.3,28,1,0,0,2.7,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",0
GN-100045,Kankan,M,48,1465611,3,Prépayé,Non,Non,271100.0,Espèces,0.0,79.32,264.1,36,5,1,1,22.0,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",1
GN-100046,Kankan,M,34,892165,22,Prépayé,Non,Non,109400.0,Orange Money,53.25,40.38,1719.5,39,2,1,0,4.1,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100047,N’Zérékoré,M,31,1686878,17,Postpayé,Non,Non,388100.0,Carte bancaire,131.48,59.56,736.4,34,3,0,13,2.4,"Service moyen, je recharge quand il faut, ça fait l’affaire.",1
GN-100048,Kankan,M,25,1320529,13,Prépayé,Oui,Oui,23100.0,Orange Money,59.69,40.96,1153.2,39,2,0,0,2.5,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100049,Kankan,M,40,1159218,99,Prépayé,Non,Non,149000.0,Carte bancaire,43.33,62.92,608.0,41,1,1,0,3.7,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100050,Conakry,F,16,1452099,137,Prépayé,Non,Oui,220000.0,Orange Money,142.51,73.14,369.4,43,0,4,2,4.0,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100051,Conakry,F,24,1828723,12,Prépayé,Non,Oui,88200.0,Orange Money,61.51,75.91,739.5,38,4,0,5,0.9,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100052,Kindia,F,24,927339,5,Postpayé,Non,Oui,407700.0,Orange Money,47.04,19.99,410.5,35,3,0,8,5.0,"Ça passe bien pour mes besoins, appels clairs et internet ok.",1
GN-100053,Conakry,F,34,2547424,36,Prépayé,Non,Non,120400.0,Espèces,79.5,23.88,450.8,28,2,0,3,9.6,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",0
GN-100054,Kindia,M,24,1857520,16,Prépayé,Non,Non,136700.0,Espèces,0.47,32.81,281.2,41,1,2,1,15.1,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100055,Mamou,M,20,388992,16,Prépayé,Non,Non,93000.0,Orange Money,92.98,70.8,852.0,39,2,0,0,0.5,"Ça passe bien pour mes besoins, appels clairs et internet ok.",0
GN-100056,Mamou,M,20,1175660,5,Prépayé,Non,Non,230800.0,Orange Money,23.92,43.51,864.8,34,1,1,0,8.0,"Support réactif, j’ai eu de l’aide rapidement, merci.",1
GN-100057,Mamou,M,16,2051827,3,Prépayé,Non,Non,98400.0,Autre wallet,87.5,57.76,338.0,28,3,0,1,3.6,"Bon service, forfait data intéressant, je suis satisfait.",1
GN-100058,Labé,F,25,1718282,3,Prépayé,Non,Non,208900.0,Orange Money,72.32,48.98,2189.0,37,5,1,7,4.6,"Prix raisonnable, réseau stable à Kipé et Nongo.",1
GN-100059,Labé,F,46,1595878,7,Prépayé,Non,Non,379600.0,Orange Money,142.9,32.28,519.4,39,1,0,0,0.1,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100060,Conakry,M,43,2186516,20,Prépayé,Non,Non,63100.0,Orange Money,98.19,41.68,1278.0,34,2,2,5,6.5,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100061,Mamou,M,31,608270,15,Postpayé,Non,Non,164100.0,Espèces,103.62,41.2,1123.8,33,2,1,4,2.9,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100062,Kankan,M,23,714661,24,Prépayé,Oui,Non,179100.0,Autre wallet,14.69,79.82,479.4,30,1,0,3,8.8,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100063,Boké,M,27,2088226,33,Prépayé,Non,Oui,36800.0,Carte bancaire,112.31,50.33,479.4,43,1,1,9,1.3,Parfois ça coupe un peu mais globalement ça va.,1
GN-100064,Faranah,M,27,1027522,7,Prépayé,Oui,Non,25100.0,Orange Money,64.88,58.58,605.8,35,1,0,6,1.8,"Service moyen, je recharge quand il faut, ça fait l’affaire.",0
GN-100065,N’Zérékoré,M,38,859881,85,Prépayé,Non,Non,199800.0,Espèces,56.4,44.2,1062.0,45,4,0,0,4.6,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100066,Conakry,F,28,2816638,38,Prépayé,Non,Non,195900.0,Carte bancaire,1.03,16.99,1384.2,40,2,1,4,2.0,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100067,Kindia,M,16,1646697,12,Prépayé,Non,Non,535900.0,Orange Money,61.46,38.03,912.1,40,5,0,0,3.7,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100068,Conakry,F,16,1913032,21,Prépayé,Non,Non,433600.0,Orange Money,92.08,40.21,289.8,29,1,1,8,5.5,"Ça passe bien pour mes besoins, appels clairs et internet ok.",0
GN-100069,Conakry,M,39,1999206,4,Prépayé,Non,Non,136600.0,Autre wallet,22.95,46.89,837.6,29,1,1,3,0.5,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",0
GN-100070,Kindia,F,43,1706584,7,Prépayé,Non,Non,187100.0,Orange Money,35.43,25.11,249.2,32,3,1,8,4.9,"Prix raisonnable, réseau stable à Kipé et Nongo.",1
GN-100071,N’Zérékoré,M,19,2143391,34,Postpayé,Non,Non,122900.0,Orange Money,40.84,16.87,407.4,37,1,0,4,1.6,"Internet lent certains soirs à Matoto, sinon ok.",1
GN-100072,Conakry,F,41,2158459,15,Postpayé,Oui,Non,545400.0,Autre wallet,46.73,38.89,442.7,30,0,1,2,8.1,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100073,Faranah,M,16,589588,29,Prépayé,Non,Non,52200.0,Orange Money,118.54,57.57,406.1,29,1,0,1,3.0,"Le réseau varie selon les quartiers, mais on s’en sort.",0
GN-100074,Mamou,F,44,809980,43,Postpayé,Oui,Non,444700.0,Espèces,37.3,53.2,1175.3,43,1,0,4,0.6,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100075,Labé,M,20,464526,11,Prépayé,Non,Oui,203000.0,Orange Money,135.45,11.06,1194.4,42,1,1,2,10.5,"Ça passe bien pour mes besoins, appels clairs et internet ok.",0
GN-100076,Conakry,M,35,1526510,9,Prépayé,Non,Oui,94700.0,Orange Money,84.93,48.61,401.2,32,0,2,12,15.3,"Support réactif, j’ai eu de l’aide rapidement, merci.",1
GN-100077,Conakry,M,41,2119887,19,Prépayé,Non,Non,149000.0,Espèces,62.26,0.0,344.6,37,2,0,1,7.6,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100078,Mamou,M,31,626151,2,Prépayé,Oui,Non,118200.0,Orange Money,35.18,70.63,976.5,37,1,0,0,1.0,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100079,Conakry,F,36,2039625,42,Prépayé,Non,Non,21300.0,Autre wallet,45.78,10.13,565.2,40,1,1,0,9.0,"Ça passe bien pour mes besoins, appels clairs et internet ok.",1
GN-100080,Conakry,M,37,1875335,2,Prépayé,Non,Non,66000.0,Orange Money,18.24,43.8,1506.8,35,2,3,0,5.8,"Internet lent certains soirs à Matoto, sinon ok.",0
GN-100081,Labé,F,27,1567630,4,Prépayé,Non,Non,203100.0,Autre wallet,26.79,0.0,859.6,34,0,2,0,0.2,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100082,Conakry,F,44,951310,3,Postpayé,Non,Non,233400.0,Espèces,102.01,25.29,319.6,28,2,0,9,0.4,Parfois ça coupe un peu mais globalement ça va.,1
GN-100083,Conakry,F,45,1257328,6,Prépayé,Non,Non,71500.0,Orange Money,59.05,62.23,535.9,27,0,2,4,4.8,"Le réseau varie selon les quartiers, mais on s’en sort.",1
GN-100084,Kankan,M,22,731920,15,Prépayé,Non,Oui,108700.0,Orange Money,67.37,60.37,531.4,32,1,1,1,19.2,"Bon service, forfait data intéressant, je suis satisfait.",1
GN-100085,Kindia,F,47,1323700,4,Prépayé,Oui,Oui,33000.0,Orange Money,71.29,24.53,287.9,32,3,0,1,0.5,"Service client joignable, délai un peu long parfois.",0
GN-100086,Conakry,M,34,1668315,6,Postpayé,Non,Oui,247900.0,Orange Money,39.68,62.66,2140.8,37,2,0,8,7.2,"Support réactif, j’ai eu de l’aide rapidement, merci.",1
GN-100087,Labé,F,20,2085768,11,Prépayé,Non,Non,106200.0,Orange Money,0.54,88.72,2157.6,32,0,1,0,5.1,"Ça passe bien pour mes besoins, appels clairs et internet ok.",0
GN-100088,Faranah,F,25,1562141,21,Prépayé,Non,Oui,378600.0,Orange Money,98.16,2.37,914.7,29,2,1,0,2.3,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100089,N’Zérékoré,M,40,615594,8,Prépayé,Non,Non,141700.0,Orange Money,70.63,3.7,1099.5,36,2,1,8,2.4,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100090,Labé,F,16,1287480,70,Prépayé,Non,Non,422900.0,Orange Money,91.51,68.34,852.6,27,2,0,0,1.7,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100091,Conakry,F,23,1497472,8,Prépayé,Non,Non,231500.0,Autre wallet,96.86,106.0,265.2,40,2,0,0,10.7,"Ça passe bien pour mes besoins, appels clairs et internet ok.",0
GN-100092,Conakry,F,28,1100448,28,Prépayé,Non,Non,210900.0,Orange Money,76.33,43.93,214.7,27,1,2,6,0.6,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",1
GN-100093,Faranah,M,38,531744,30,Prépayé,Non,Non,208800.0,Orange Money,21.66,38.47,302.8,26,2,1,4,2.2,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100094,Labé,M,31,1355814,22,Postpayé,Non,Non,545000.0,Orange Money,71.31,37.43,542.3,34,2,2,0,7.5,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100095,Boké,F,34,1914330,25,Prépayé,Non,Non,45500.0,Espèces,61.7,73.71,2735.0,28,2,1,0,0.2,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100096,Kankan,F,24,1280438,12,Prépayé,Non,Non,169800.0,Orange Money,57.21,58.57,316.2,43,0,0,3,4.1,"Ça passe bien pour mes besoins, appels clairs et internet ok.",0
GN-100097,Conakry,M,34,2104776,6,Prépayé,Oui,Non,120500.0,Orange Money,69.68,66.96,305.9,35,0,0,0,6.3,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100098,Conakry,M,30,2566809,8,Prépayé,Non,Oui,370300.0,Orange Money,56.39,81.75,683.0,27,2,0,2,9.7,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100099,Conakry,F,27,1588332,28,Prépayé,Non,Non,193200.0,Orange Money,111.03,29.53,578.8,41,3,0,3,2.5,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100100,Kankan,F,26,975162,6,Postpayé,Oui,Non,339100.0,Orange Money,71.62,50.71,1092.9,31,2,2,5,8.8,"Prix raisonnable, réseau stable à Kipé et Nongo.",1
GN-100101,N’Zérékoré,M,28,1101751,34,Postpayé,Non,Non,323800.0,Autre wallet,63.0,27.6,1189.1,24,2,2,4,2.1,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100102,Conakry,M,33,1337713,16,Prépayé,Non,Non,147100.0,Orange Money,27.54,52.15,1316.4,43,2,1,4,4.6,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",0
GN-100103,Conakry,F,41,2165342,27,Prépayé,Non,Non,309600.0,Espèces,47.3,29.92,355.2,31,1,0,0,4.6,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100104,Labé,M,35,660125,19,Prépayé,Non,Non,134900.0,Espèces,28.7,24.92,576.3,19,2,1,2,13.4,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100105,Conakry,M,30,1923086,5,Postpayé,Non,Oui,469100.0,Espèces,57.76,27.29,1875.1,43,2,4,4,6.3,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100106,Conakry,F,37,1240466,42,Prépayé,Oui,Non,114100.0,Orange Money,55.41,47.31,568.3,47,2,0,0,5.1,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",0
GN-100107,Labé,F,39,1395510,33,Prépayé,Non,Non,404400.0,Orange Money,71.09,102.03,370.5,33,2,1,1,2.5,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",1
GN-100108,Kankan,M,42,607928,20,Postpayé,Non,Non,405800.0,Orange Money,27.49,0.0,1895.4,26,0,0,8,0.1,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100109,Boké,F,16,1324311,8,Postpayé,Non,Non,401700.0,Orange Money,0.0,55.03,902.8,26,3,0,12,0.9,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100110,N’Zérékoré,F,36,707996,5,Prépayé,Non,Non,109300.0,Carte bancaire,50.94,92.96,985.0,32,3,1,0,2.4,"Ça passe bien pour mes besoins, appels clairs et internet ok.",1
GN-100111,Kindia,F,16,983178,21,Prépayé,Oui,Oui,85000.0,Orange Money,97.18,30.98,364.3,35,2,0,4,4.4,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100112,Conakry,F,37,2493604,33,Prépayé,Oui,Non,465100.0,Orange Money,44.32,6.73,651.3,36,5,1,0,7.9,Parfois ça coupe un peu mais globalement ça va.,0
GN-100113,Mamou,F,28,749894,6,Prépayé,Non,Non,146300.0,Carte bancaire,0.0,42.64,6491.5,36,3,2,0,4.6,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100114,Kindia,M,35,770244,137,Prépayé,Non,Oui,77000.0,Orange Money,90.99,68.67,703.0,37,3,2,6,26.2,"Le réseau varie selon les quartiers, mais on s’en sort.",0
GN-100115,Conakry,M,28,2304258,6,Prépayé,Non,Non,237400.0,Orange Money,80.46,58.49,388.8,35,2,0,2,0.6,"Bon service, forfait data intéressant, je suis satisfait.",1
GN-100116,N’Zérékoré,M,34,1095079,18,Prépayé,Non,Oui,36300.0,Orange Money,94.35,82.07,896.5,33,0,0,0,0.1,"Internet lent certains soirs à Matoto, sinon ok.",0
GN-100117,Boké,F,34,590069,10,Prépayé,Non,Non,310200.0,Orange Money,0.0,50.52,2345.7,24,2,2,6,0.8,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100118,Kindia,M,40,1433611,10,Postpayé,Non,Oui,447500.0,Orange Money,37.01,0.0,1090.9,37,2,1,10,13.4,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100119,Conakry,M,33,1965413,52,Prépayé,Non,Non,164300.0,Espèces,52.08,67.68,635.3,33,1,0,9,6.2,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100120,Kankan,F,32,940586,73,Prépayé,Non,Non,113300.0,Orange Money,44.67,49.19,885.0,35,1,0,1,2.3,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100121,N’Zérékoré,M,28,1307967,6,Postpayé,Non,Non,425600.0,Carte bancaire,100.23,62.19,1065.3,27,1,1,6,4.3,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100122,Conakry,F,37,1118108,23,Prépayé,Non,Non,242500.0,Autre wallet,77.61,69.39,364.5,44,2,0,6,7.2,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100123,N’Zérékoré,F,28,1420826,7,Postpayé,Non,Oui,421000.0,Orange Money,47.61,27.79,714.3,32,0,0,13,5.2,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",0
GN-100124,Kankan,F,38,1325115,16,Prépayé,Oui,Non,210800.0,Orange Money,38.3,117.22,750.6,30,4,2,0,9.4,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100125,N’Zérékoré,M,22,1786167,21,Prépayé,Oui,Non,63600.0,Autre wallet,82.35,37.9,553.3,44,0,0,0,0.0,Parfois ça coupe un peu mais globalement ça va.,1
GN-100126,Kankan,F,52,906440,79,Postpayé,Non,Oui,500300.0,Orange Money,82.91,50.54,810.1,29,4,0,13,26.5,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100127,Conakry,M,37,793181,6,Prépayé,Non,Non,197000.0,Orange Money,34.92,49.71,745.4,29,6,1,2,1.4,Parfois ça coupe un peu mais globalement ça va.,1
GN-100128,Kindia,M,43,1068515,24,Prépayé,Non,Non,143300.0,Orange Money,81.65,38.78,1032.8,30,2,1,0,3.3,"Ça passe bien pour mes besoins, appels clairs et internet ok.",0
GN-100129,Kankan,M,35,1196975,15,Prépayé,Non,Non,217500.0,Orange Money,138.99,35.78,626.9,31,3,4,0,9.2,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100130,Boké,M,39,1221370,8,Prépayé,Non,Oui,42200.0,Orange Money,0.0,95.66,1272.0,28,6,0,0,1.5,"Service moyen, je recharge quand il faut, ça fait l’affaire.",1
GN-100131,Boké,M,16,300000,27,Prépayé,Non,Non,165000.0,Autre wallet,43.25,73.73,1374.6,38,2,1,4,0.7,"Support réactif, j’ai eu de l’aide rapidement, merci.",1
GN-100132,Kankan,M,16,767427,91,Prépayé,Oui,Oui,80000.0,Orange Money,83.78,10.54,1060.4,34,3,0,3,11.6,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100133,Mamou,F,46,1676487,28,Postpayé,Non,Non,289500.0,Orange Money,0.0,48.99,529.9,37,3,2,16,1.0,"Bon service, forfait data intéressant, je suis satisfait.",1
GN-100134,Kindia,F,41,654371,2,Prépayé,Oui,Non,52700.0,Espèces,75.38,68.37,916.4,48,1,2,8,0.1,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100135,Kindia,M,28,2161718,41,Prépayé,Non,Oui,457900.0,Orange Money,53.67,0.0,892.8,41,2,1,0,1.9,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100136,Faranah,F,33,378317,5,Prépayé,Non,Oui,190100.0,Orange Money,103.74,0.0,1560.0,33,2,1,0,0.3,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100137,Labé,M,30,1515384,29,Prépayé,Oui,Non,192200.0,Orange Money,54.12,44.18,551.7,36,1,1,3,6.7,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100138,Conakry,F,50,2108231,6,Prépayé,Non,Non,94500.0,Autre wallet,50.49,89.96,1593.1,31,2,2,4,10.1,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100139,Conakry,F,29,1974379,23,Prépayé,Oui,Oui,97800.0,Orange Money,55.04,63.64,593.5,36,1,2,1,6.8,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
